Stock,Date,Open,High,Low,Close,Volume
HILTON,25-Jan-24,130.85,133,128.6,129.2,99846
HILTON,24-Jan-24,133.45,133.45,127.8,130.85,152175
HILTON,23-Jan-24,134,138,128.6,133.45,150643
HILTON,20-Jan-24,137.7,139,132.6,135.2,182946
HILTON,19-Jan-24,130.5,138.95,129.65,134.65,394982
HILTON,18-Jan-24,128.15,130.3,123.3,126.7,91147
HILTON,17-Jan-24,131.9,134.3,129,130.9,94444
HILTON,16-Jan-24,136.7,138,130.95,131.9,95129
HILTON,15-Jan-24,138.4,139.75,134,135.45,126770
HILTON,12-Jan-24,131.65,139.5,130.1,135.4,339873
HILTON,11-Jan-24,131.65,139.5,130.1,136.3,265663
HILTON,10-Jan-24,137.9,137.9,130.4,132.95,148112
HILTON,09-Jan-24,135.85,138.5,132.7,135,129298
HILTON,08-Jan-24,138.55,143,131.8,135.85,297276
HILTON,05-Jan-24,131.95,143.7,130.3,138.55,499967
HILTON,04-Jan-24,133.4,133.7,129.6,130.4,143334
HILTON,03-Jan-24,130,139.3,129.75,131.8,230392
HILTON,02-Jan-24,134,136.05,128.35,131.45,436946
HILTON,01-Jan-24,127.4,128.4,102.15,113.55,1390091
HILTON,29-Dec-23,127.4,128.4,102.15,113.55,1390091
HILTON,28-Dec-23,133.95,134.9,126,127.35,252930
HILTON,27-Dec-23,134.95,135.9,128.75,132.25,253944
HILTON,26-Dec-23,136.9,136.9,130.1,131.5,72229
HILTON,22-Dec-23,137.4,137.4,132,133.4,48011
HILTON,21-Dec-23,132.45,134.85,130.15,132.7,53694
HILTON,20-Dec-23,137.65,138.45,124.85,132.5,115245
HILTON,19-Dec-23,138,138.85,135.65,136.2,36492
HILTON,18-Dec-23,142,142,134.9,135.85,45614
HILTON,15-Dec-23,141.7,142.45,134,138.85,145545
HILTON,14-Dec-23,142.4,142.4,138.35,139.45,93773
HILTON,13-Dec-23,138,141.5,135.3,140.4,92918
HILTON,12-Dec-23,140.85,140.85,135.1,136.85,61482
HILTON,11-Dec-23,143.4,143.4,135,137.85,105597
HILTON,08-Dec-23,141.45,142.5,138.1,139.9,90251
HILTON,07-Dec-23,137.95,139,135.95,138.4,158131
HILTON,06-Dec-23,140.15,143.85,138,138.55,44975
HILTON,05-Dec-23,145.4,145.4,139.5,142.15,71309
HILTON,04-Dec-23,146,153.05,141,142.1,44518
HILTON,01-Dec-23,142,146,140.35,142.05,53400
HILTON,30-Nov-23,144.35,144.5,141,142.2,54890
HILTON,29-Nov-23,148.65,148.7,142.1,144.05,37916
HILTON,28-Nov-23,150,152.25,145.3,146.1,61192
HILTON,24-Nov-23,144.5,151.8,140.5,148.95,182419
HILTON,23-Nov-23,145.9,145.9,140,141.1,34796
HILTON,22-Nov-23,146,146,142.9,145,25054
HILTON,21-Nov-23,139.7,147.95,138.55,145.2,231187
HILTON,20-Nov-23,140.1,143.65,138.35,139.7,36074
HILTON,17-Nov-23,144.8,144.8,139.1,142.9,161093
HILTON,16-Nov-23,148,148,140,143.4,78317
HILTON,15-Nov-23,144.55,148.5,143.05,144,31268
HILTON,13-Nov-23,153.5,153.5,142.8,144.2,69067
HILTON,12-Nov-23,153.5,153.5,142.8,144.2,69067
HILTON,10-Nov-23,146.6,148,141,147.45,123117
